사명,자산총계(억),부채총계(억),자본총계(억),부채비율,매출액증가율,배당수익률,보통주배당금,PER(배),ROE(%),PBR(배),최근_종가,부채비율_점수,매출액증가율_점수,배당수익률_점수,PER(배)_점수,ROE(%)_점수
삼성전자,5145319.0,1123399.0,4021920.0,0.27931908143374307,16.2,0.013971014492753623,1446.0,21.45,9.03,1.7,103500.0,9.0,8.0,5.0,7.0,5.0
SK하이닉스,1198552.0,459395.0,739157.0,0.6215120738895796,102.02,0.004051470588235294,2204.0,11.09,31.06,3.76,544000.0,8.0,10.0,2.0,4.0,10.0
현대차,3397984.0,2195225.0,1202759.0,1.8251578246348603,7.73,0.045889101338432124,12000.0,6.57,12.43,0.6,261500.0,3.0,6.0,10.0,2.0,7.0
HD현대중공업,193909.0,136865.0,57044.0,2.3992882687048596,21.08,0.003772563176895307,2090.0,37.71,11.39,7.54,554000.0,3.0,8.0,2.0,9.0,7.0
KB금융,7578455.0,6980304.0,598151.0,11.6698024411896,9.77,0.025658852061438964,3174.0,8.49,8.86,0.76,123700.0,1.0,7.0,7.0,3.0,5.0
기아,927559.0,369156.0,558403.0,0.6610924368243007,7.66,0.05701754385964912,6500.0,5.78,19.09,0.75,114000.0,8.0,6.0,10.0,1.0,9.0
한화에어로스페이스,433369.0,319726.0,113643.0,2.813424496009433,42.47,0.003989571263035921,3443.0,15.79,53.94,4.94,863000.0,2.0,10.0,2.0,6.0,10.0
셀트리온,210552.0,34752.0,175800.0,0.19767918088737202,63.45,0.003968682505399568,735.0,58.52,2.46,2.43,185200.0,10.0,10.0,2.0,10.0,2.0
SK스퀘어,219211.0,23356.0,195855.0,0.11925148706951572,169.41,0.0,0.0,5.69,21.7,1.62,301000.0,10.0,10.0,1.0,1.0,9.0
NAVER,381679.0,111670.0,270009.0,0.4135788066323715,11.03,0.004493041749502982,1130.0,18.17,7.9,1.38,251500.0,9.0,7.0,3.0,6.0,5.0
삼성물산,619904.0,247319.0,372585.0,0.6637921548103117,0.5,0.01123110151187905,2600.0,18.97,6.83,0.92,231500.0,7.0,3.0,4.0,7.0,4.0
신한지주,7397643.0,6809432.0,588211.0,11.576512509966662,74.77,0.027586206896551724,2160.0,8.0,8.11,0.65,78300.0,1.0,10.0,7.0,3.0,5.0
한화오션,178438.0,129805.0,48633.0,2.669072440523924,45.46,0.0,0.0,27.89,11.52,6.18,110500.0,3.0,10.0,1.0,8.0,7.0
한국전력,2468078.0,2054450.0,413628.0,4.966902627481699,5.87,0.004104046242774566,213.0,4.05,9.22,0.72,51900.0,2.0,5.0,2.0,1.0,6.0
삼성생명,3122188.0,2794809.0,327379.0,8.53692203837143,9.21,0.029335071707953065,4500.0,14.35,6.18,0.87,153400.0,1.0,6.0,8.0,5.0,4.0
HD한국조선해양,367191.0,225633.0,141558.0,1.5939261645403298,19.92,0.011943793911007026,5100.0,14.9,11.16,2.42,427000.0,4.0,8.0,5.0,5.0,6.0
HD현대일렉트릭,37955.0,22880.0,15075.0,1.5177446102819236,22.92,0.006704260651629073,5350.0,46.69,39.34,16.17,798000.0,4.0,9.0,3.0,9.0,10.0
현대모비스,665969.0,204787.0,461182.0,0.44404811983121634,-3.41,0.019704433497536946,6000.0,6.76,9.35,0.57,304500.0,8.0,2.0,6.0,2.0,6.0
카카오,257730.0,118301.0,139429.0,0.8484676788903313,4.16,0.0011390284757118929,68.0,113.9,0.56,2.48,59700.0,7.0,5.0,2.0,10.0,1.0
하나금융지주,6378475.0,5942706.0,435769.0,13.63728489176605,17.1,0.03858520900321544,3600.0,6.76,9.11,0.58,93300.0,1.0,8.0,9.0,2.0,5.0
고려아연,147923.0,71969.0,75954.0,0.9475340337572742,24.2,0.013207547169811321,17500.0,85.65,2.28,3.1,1325000.0,6.0,9.0,5.0,10.0,2.0
POSCO홀딩스,1034042.0,419538.0,614504.0,0.6827262312369,-5.76,0.03194888178913738,10000.0,56.29,2.0,0.43,313000.0,7.0,1.0,8.0,10.0,1.0
삼성화재,872695.0,716673.0,156022.0,4.5934099037315255,8.8,0.039014373716632446,19000.0,12.2,13.11,1.24,487000.0,2.0,6.0,9.0,4.0,8.0
